time,cpu_user_time,cpu_idle_time,cpu_interrupt_time,cpu_utilization_percentage,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,cpu_sys_calls,cpu_current_frequency,cpu_min_frequency,cpu_max_frequency,total_virtual_memory,available_virtual_memory,virtual_memory_percentage_usage,swap_total_memory,swap_available_memory,swap_used_memory,swap_memory_percentage_usage,battery_percentage,power_plugged
19:25:36,10011.0,357463.67187499994,317.140625,2.8,239693173,154628979,0,1028228344,998.0,0.0,2496.0,15.651866912841797,6.384521484375,59.2,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:37,10011.15625,357474.07812499994,317.140625,4.7,239699747,154632709,0,1028310560,2496.0,0.0,2496.0,15.651866912841797,6.4016265869140625,59.1,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:38,10011.703125,357481.51562499994,317.15625,11.8,239721915,154645021,0,1028425437,2496.0,0.0,2496.0,15.651866912841797,6.399555206298828,59.1,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:39,10011.84375,357489.20312499994,317.171875,4.9,239736687,154653828,0,1028455200,2496.0,0.0,2496.0,15.651866912841797,6.399738311767578,59.1,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:40,10012.46875,357496.43749999994,317.171875,11.6,239751509,154662057,0,1028586960,2496.0,0.0,2496.0,15.651866912841797,6.37469482421875,59.3,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:41,10012.796875,357504.17187499994,317.171875,6.1,239775390,154676865,0,1028688423,2496.0,0.0,2496.0,15.651866912841797,6.3398284912109375,59.5,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:42,10013.0625,357511.79687499994,317.171875,5.8,239792965,154688043,0,1028759257,2496.0,0.0,2496.0,15.651866912841797,6.301555633544922,59.7,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:43,10013.171875,357519.53124999994,317.1875,5.4,239805054,154695559,0,1028841240,2496.0,0.0,2496.0,15.651866912841797,6.29351806640625,59.8,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:44,10013.40625,357527.20312499994,317.234375,6.5,239822564,154705375,0,1028908220,2496.0,0.0,2496.0,15.651866912841797,6.278858184814453,59.9,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:45,10013.984375,357534.65624999994,317.25,8.6,239833292,154712005,0,1028935737,2496.0,0.0,2496.0,15.651866912841797,6.281078338623047,59.9,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:46,10014.078125,357542.54687499994,317.25,5.1,239843517,154718040,0,1028964745,2496.0,0.0,2496.0,15.651866912841797,6.284732818603516,59.8,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:47,10014.234375,357550.29687499994,317.296875,5.5,239854323,154724800,0,1028988403,2496.0,0.0,2496.0,15.651866912841797,6.297016143798828,59.8,7.5,7.409454345703125,0.090545654296875,1.2,58,False
19:25:48,10014.546875,357557.92187499994,317.296875,8.3,239868781,154733143,0,1029065257,2496.0,0.0,2496.0,15.651866912841797,6.282184600830078,59.9,7.5,7.409454345703125,0.090545654296875,1.2,58,False
